序号,项目名称,材料名称,规格型号,单位,单价,是否含税,供应商/来源,地区,报价时间,备注,填报部门,填报工程师,上传人,询价类别
1,成都天府新区道路改造项目,螺纹钢,HRB400E Φ16,吨,4250,是,四川攀钢集团,成都,2024-03-01,项目急需,采购部,张三,张三,项目询价
2,成都天府新区道路改造项目,水泥,P.O 42.5,吨,480,是,峨眉山水泥厂,成都,2024-03-06,批量采购,采购部,张三,张三,项目询价
3,绵阳科技城建设项目,砂石,中砂,方,85,是,本地砂石场,绵阳,2024-02-01,,工程部,李四,李四,项目询价
4,绵阳科技城建设项目,混凝土,C30,方,420,是,成都混凝土公司,绵阳,2024-02-06,现货供应,工程部,李四,李四,项目询价
5,德阳工业园区基础设施项目,沥青,AH-70,吨,3850,是,四川沥青厂,德阳,2024-01-01,,采购部,王五,王五,项目询价
6,德阳工业园区基础设施项目,管材,DN300 钢管,米,280,是,成都钢管厂,德阳,2024-01-06,定制规格,工程部,王五,王五,项目询价
7,宜宾临港经济开发区项目,电缆,YJV-4×185,米,185,是,四川电缆厂,宜宾,2023-12-01,,采购部,赵六,赵六,项目询价
8,宜宾临港经济开发区项目,灯具,LED路灯 150W,套,850,是,深圳照明公司,宜宾,2023-12-06,含安装,工程部,赵六,赵六,项目询价
9,泸州长江大桥改造项目,涂料,外墙乳胶漆,桶,380,是,成都涂料厂,泸州,2023-11-01,,采购部,钱七,钱七,项目询价
10,泸州长江大桥改造项目,保温材料,岩棉板 50mm,平米,45,是,四川保温材料厂,泸州,2023-11-06,防火等级A级,工程部,钱七,钱七,项目询价
